,userID,tag,content,date,year,label
0,Shave59,推,樓上的  是因為腰粗所以走不藍尼路線嗎,06/26,2005,1
1,sowe0613,推,"她很胖~""~",07/09,2005,1
2,SHALIMAR,→,"我認識的都是瘦瘦高高,扁身骨架大的,",02/10,2006,0
3,oliver81405,→,垃圾死肥豬,11/24,2006,1
4,zoojan,推,聽說他很胖  在日本減肥成功,11/20,2006,1
5,ttk620,→,胖子=豬... 好慘= =,12/22,2006,1
6,sirari,推,台下說禿頭和矮子.光一回胖子和醜女.只是開玩笑的互動啦,01/13,2007,0
7,withoutdodo,推,真的很垃圾耶 死肥豬..,04/18,2007,1
8,barkleyc,推,垃圾死肥豬,04/19,2007,1
9,OhScum,推,去拍av吧 肥腿大奶妹 幹 跩屁啊,10/02,2007,1
10,chauwi,推,真不曉得在跩什麼，死肥豬又一臉賤樣,10/03,2007,1
11,jerry886,推,肥就算了。心也醜。,04/12,2008,1
12,awaro,推,鬥不過別人就找人幫忙 操 沒奶子!!,04/18,2008,1
13,HenryWangTW,→,豬臉小胖子 真醜,05/31,2008,1
14,olalaolala,→,一些 結果到今年還沒斷種 還瘦巴巴 好囧,10/19,2008,2
15,mokuu,→,另外，說要給需要的消費者，那就是說，我不是紙片人，或是我,12/22,2008,4
16,smalldick,→,恐龍妹?還能20中出 已經是非常人,03/28,2022,1
17,Pttntu,→,您好.. 偶是板橋肥肚男..可以認識您嗎?,06/01,2011,4
18,oXnXo,推,他腿好粗喔...對了原PO有點矮,07/18,2011,1
19,poohkoala,→,我爸好歹是個當過兵的後備軍人~我是個40KG的紙片人,02/16,2012,4
20,irene1770,→,喔，我也是紙片人呀 所以?,02/16,2012,4
21,irene1770,→,紙片人就可以自己啥都沒做 然後反酸有做事的人喔...,02/16,2012,2
22,KGarnett05,推,再選一次我還是會去當兵，也不要瘦成骷髏、胖成神豬,04/09,2012,3
23,heavensun,推,有印象  原來你就是那位少年禿的胖宅,06/30,2012,1
24,recx,→,換個例子試試看 胖是異常 醜是異常 窮是異常 ...略,01/21,2013,1
25,chunwei0120,→,學伴抽到有男友或是龍妹 是有比較好嗎,02/28,2013,1
26,sugizo0,→,用範圍技啊，釣魚內文基本上都用 醜宅、肥宅 之類的，且特,03/17,2013,1
27,enel1111,噓,醜沒關係?? 如果qn是龍妹得話 會有人理她??,03/30,2013,1
28,Tribute,推,胖宅淚推~~~,04/21,2013,4
29,bughong,→,噁心的胖宅才會看到健身房就想到甲,04/20,2013,1
30,haoto,→,bughong很中肯啊 是惹到哪個噁心的胖宅了,04/21,2013,1
31,amyris1020,→,顆顆...原來連噁心的胖宅都不能講,04/21,2013,1
32,howlongbing,→,而且也不帥 是個又醜又肥的死阿宅,05/31,2013,1
33,xrays,→,我看像我這麼俊俏的人 也會被你說是死胖子! odd給我滾!!!,05/19,2013,1
34,XXXXGAY,→,我又不胖，你是沒看過紙片人逆!,06/04,2013,2
35,potatofat,推,鄉民真不懂事 水桶腰也是腰阿,06/06,2013,1
36,diamondboy,→,"不得了，胖達人醜聞在大陸傳開了,壞事傳千里,名揚全球",08/23,2013,0
37,YonLang,→,musoutensei:我不想成為胖宅 更不想成為肥宅,11/30,2013,4
38,YonLang,→,NPITGOD:誰是胖宅 誰是肥宅 說清楚 我問你吃早餐你說不想,11/30,2013,4
39,coon182,噓,好的米粒都會先搶走，介紹給你的都龍妹,12/31,2013,1
40,fuxkyou,→,我也可以啦 反正我標準本來就不高 因為我醜又肥 (笑,12/31,2013,4
41,luming,推,腆著肥肚子的狗官 這些人真的下地獄,12/15,2013,1
42,zx1986,推,跟那些腆著肥肚子的狗官是不一樣的  !!!!!!!!!!!,12/15,2013,1
43,boyen3,推,為了22K去撿肥皂 還不如在外面賣屁股,02/17,2014,0
44,sugizo0,推,對了，神豬，都是處男,02/24,2014,1
45,apple82055,推,對了，神豬，都是處男,02/24,2014,1
46,tokyoto,推,神豬吃那麼胖 屌也會很大嗎？可惜一輩子是處男...,02/24,2014,1
47,ieoAAAA,推,對了，神豬，都是處男......,02/24,2014,1
48,bernicellu,→,有些胖子很可愛..但就是討厭矯情有心機的神豬,02/25,2014,1
49,handsomeKim,噓,死肥豬,02/25,2014,1
50,bolu0401,推,死胖子幹,03/21,2014,1
51,longya,推,T很白目噁心 而且很多又肥又醜穿衣服沒品味,07/10,2014,1
52,Simonfenix,推,肥婆我還是可以~~~~~,07/30,2014,1
53,gogoegg,推,你會害死你家的神豬 狀況外還硬在節目上跟人吵,08/13,2014,1
54,balahaha,噓,f12.......肥宅文跟柴犬符號正式死光....跟lasda跟胡醜,08/15,2014,0
55,jhc0723,推,台北肥肚  !!!!,08/16,2014,1
56,Amontillako,→,騎車背背包? 阿是大學生聯誼抽到龍妹膩?,08/31,2014,1
57,zxvbnm,推,早點被毒死說不定比較好 不用看神豬當總統 不用被統一,09/08,2014,1
58,CYmphony,噓,幹你娘 支那神豬全家不得好死,09/16,2014,1
59,elmush,噓,當個版？幹，去死吧神豬,09/16,2014,1
60,OPWaug,推,狗娘肛門生的國民黨髒蛆跟死肥豬支持者快找理由啊哈哈,09/16,2014,1
61,OPWaug,推,國民骯髒黨跟死肥豬支持者一家老小全死光會哈哈哈哈,09/16,2014,1
62,Xenogamer,推,神豬幕僚比不上PTT的一個鄉民 丟臉死了 還是去領500吧,09/16,2014,1
63,perfect64732,推,笑死  一堆噁心黨工被打臉  腫得跟低能神豬一樣,09/16,2014,1
64,ly1752,噓,你為啥要崩潰死肥豬幹,09/18,2014,1
65,fastmonster,噓,幹！ 死肥豬 幹！,09/18,2014,1
66,Xmasbowl,推,幹你娘死肥豬去死,09/21,2014,1
67,OPWaug,推,你會讓狗陰道生的689跟死肥豬團隊氣到自相殘殺XDD,09/22,2014,1
68,skyhigh5566,噓,我把我家廚房的菜渣拿來給你吃了死胖子幹,09/22,2014,1
69,jack020408,噓,死肥豬,09/22,2014,1
70,ofpurity,→,幹 她好像毛澤東的孫子 那個肥豬將軍,09/22,2014,1
71,rayba,→,不然拍低能兒的精子來騙喜憨兒算不算創意 ? 快槍決肥豬啊,09/30,2014,1
72,grooving,噓,站長群就是裝死擺爛挺神豬啊 不然會搞到這麼大?,09/30,2014,1
73,a900632000,→,難怪當初跳槽去神豬那邊死也不下台,09/30,2014,1
74,tws80531,推,死魚的是神豬黨工帳號權限夠的,10/11,2014,1
75,nakata7,推,真的沒有這麼氣過!! 連肥豬去死吧!!,10/28,2014,1
76,a09374567,噓,87三洨? 你盲挺心機肥婆 妳腦就很清楚?就不87?,11/28,2014,1
77,seabox,推,四差貓肥婆,11/07,2014,1
78,s958256,噓,幹你媽的智障肥豬 人家在問核安你在回答食安,11/07,2014,1
79,rehearse,噓,我看你這肥豬才笑不出來 幹,11/07,2014,1
80,archon,推,公民提問（三）... 真。心機肥婆,11/07,2014,1
81,eu3,噓, 4 5五年級那些垃圾..還要投給肥豬?,11/08,2014,1
82,mike5312,→,廢物魯蛇 死胖子,11/16,2014,1
83,a09374567,噓,醫美板主 羊ㄇㄟ ~ 跨年夜 肥婆沒打算帶你們這些死忠,12/31,2014,1
84,Mews,噓,胖宅,12/31,2014,1
85,garyyang36,→,COCO想分化柯P跟DPP關係目的很明顯，心機肥婆！,12/06,2014,1
86,polo888362,推,怎麼手段跟某個心機肥婆很像阿??,12/11,2014,1
87,bcismylove,推,難道又多一個心機肥婆 ?,12/11,2014,1
88,haoto,推,心機周刊不意外 難怪收一個心機肥婆,12/12,2014,1
89,sisn,推,雞婆：是不是個「醒」～字？　肥婆：是...是啊是啊是啊！,12/15,2014,1
90,Harvard5566,推,宅/心寬體胖,12/17,2014,1
91,esunbank,推,有篇文  快去備份 告  說你心肌肥婆,01/01,2015,1
92,notwithyou,推,心肌肥婆XDDDDDDDDD,01/01,2015,1
93,traipse,推,一個月前101前打人時 豬粉怎麼都不叫胖虎下台???!!!,01/23,2015,1
94,mpppppp,噓,死肥豬 字以為市長喔 還有隨扈,01/26,2015,1
95,terryporter,推,死肥豬連彘,02/02,2015,1
96,yfhao,→,人身攻擊很無聊，意見不同就說人是龍妹?,02/02,2015,1
97,azt911231,噓,～～～我投小妹哥和狐醜大將軍，請大家支持肥宅～～～,02/11,2015,1
98,arcanite,→,心機肥婆表示:,04/23,2015,1
99,heerowei0802,推,肥婆如果好好的發中肯文，我相信還是能洗白,04/23,2015,1
