,userID,tag,tag_num,content,date,year,label,gender_female,gender_lgbt,pubertal_development,sexual_harrasment,appearance_object,appearance_animal,attitude,shame,mother,label_ver2
0,RRADA,推,2,這就傳說中的甜不辣手啊,12/17,2021,1,0,0,1,0,1,0,0,0,0,1
1,newsyho,→,0,複製肥婆的喪事喜辦高招，暖心推責用的,10/15,2021,1,0,0,0,0,0,0,1,0,0,1
2,z5536987123,噓,1,大腿太粗,01/21,2022,1,0,0,1,0,0,0,1,0,0,1
3,AustinRivers,→,0,有個肥婆專長,11/19,2022,1,0,0,0,0,0,0,1,0,0,1
4,valentian,推,2,其實不只老師，現在也沒啥學生想當糾察,12/03,2021,0,0,0,0,0,0,0,1,0,0,0
5,handsomeKim,噓,1,死肥豬,02/25,2014,1,0,0,0,0,0,1,1,1,0,1
6,wawa459,推,2,幫高調,12/11,2021,0,0,0,0,0,0,0,0,0,0,0
7,phix,推,2,可是評判的都被抓了,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
8,heavensun,→,0,人設醜 讓肥宅有帶入感 想像自己是主角,09/03,2021,1,0,0,0,0,0,0,1,0,0,1
9,GGrunrundela,噓,1,的要死把醜男當成偶像 還他媽說屌,12/14,2021,0,0,0,0,1,0,0,1,1,0,0
10,ah937609,→,0,二樓塔穴幫,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
11,l87cm,→,0,跳電都沒負責了 民進黨下台,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
12,hiphopmei,推,2,錢,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
13,lovegq00,推,2,肥婆理由真多,03/03,2022,1,0,0,0,0,0,0,1,0,0,1
14,CGMS,推,2,大腿有粗,05/02,2022,1,0,0,1,0,0,0,1,0,0,1
15,coffee112,推,2,你以為龍妹 就不會騙人嗎 唉..........,01/25,2022,1,0,0,0,0,0,1,0,0,0,1
16,megalink,噓,1,有隻又肥又醜的貓不管怎麼洗都臭信不信,10/23,2022,0,0,0,0,0,0,0,1,0,0,0
17,CCRsexy5566,噓,1,肥婆,02/07,2022,1,0,0,0,0,0,0,1,0,0,1
18,jei01,推,2,肥宅想一輩子戴口罩，一罩遮十醜,02/21,2022,1,0,0,0,0,0,0,1,0,0,1
19,MBAR,推,2,kmt:這種挑釁的行為duck不必，我們是為中華,12/03,2021,0,0,0,0,0,0,0,0,0,0,0
20,crimson11,→,0,龍妹路上一堆 塊去 祝福你,11/30,2021,1,0,0,0,0,0,1,0,0,0,1
21,UOG7,→,0,把塔綠班最愛掛嘴邊的言論自由都打在地上 不,12/04,2021,0,0,0,0,0,0,0,0,0,0,0
22,cckk969,→,0,哈哈哈,12/05,2021,0,0,0,0,0,0,0,0,0,0,0
23,YoGlolz,推,2,台灣的薪水：蛤,12/11,2021,0,0,0,0,0,0,0,0,0,0,0
24,kjes924308,推,2,連龍妹都嫌棄你怎麼辦,04/24,2022,1,0,0,0,0,0,1,0,0,0,1
25,FireJ,推,2,只有塔綠班才會用,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
26,kino056,→,0,肥宅兒都用肥肚肚,03/31,2017,1,0,0,1,0,0,0,1,0,0,1
27,apollo999,推,2,新北水準,12/06,2021,0,0,0,0,0,0,0,0,0,0,0
28,s72005ming,推,2,不是吧！我還是會跟龍妹當朋友呀,04/22,2022,1,0,0,0,0,0,1,0,0,0,1
29,sHakZit75,推,2,公園醋,12/07,2021,0,0,0,0,0,0,0,0,0,0,0
30,jerrychiu,推,2,在p4也染疫 水準跟祖國一樣呢,12/11,2021,0,0,0,0,0,0,0,0,0,0,0
31,Vassili242,推,2,抓到了，拜登被中共腦控,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
32,vvrr,→,0,小時候會把手指套滿再吃。長大手指肥了就…,12/13,2021,1,0,0,1,0,0,0,1,0,0,1
33,ultraccs,推,2,女的醜根本不是問題 別肥就好,06/29,2022,1,0,0,0,0,0,0,1,0,0,1
34,maticsakura,推,2,跟那些跟著甲肥貓屁股的塔綠班講理,11/14,2022,1,0,1,1,0,0,0,1,0,0,1
35,eric2016,→,0,春年華的女孩兒，反觀醜陋肥宅呢？等人,04/19,2022,1,0,0,0,0,0,0,1,0,0,1
36,tonyian,→,0,，立馬解決問題,12/09,2021,0,0,0,0,0,0,1,0,0,0,0
37,justice2008,→,0,當然有差 再用種花啊 笑死,12/08,2021,0,0,0,0,0,0,0,0,1,0,0
38,OGC218,→,0,公民課廢掉改上道德倫理吧,12/13,2021,0,0,0,0,0,0,0,0,0,0,0
39,Jwfsm,噓,1,哪裡震撼 大灑幣就歸隊,12/11,2021,0,0,0,0,0,0,0,0,0,0,0
40,Mrlegend,→,0,還是比肥婆好,12/03,2022,1,0,0,0,0,0,0,1,0,0,1
41,wawaking1,→,0,肥宅長得又醜又胖又臭有自我檢討嗎,04/11,2022,1,0,0,0,0,0,0,1,0,0,1
42,t7556281,推,2,胖能減肥矮沒辦法救,11/05,2021,1,0,0,0,0,0,0,1,0,1,1
43,link4517,→,0,肥宅跟胖子不同，肥宅是沒有女朋友的，,05/12,2022,1,0,0,0,0,0,0,1,0,0,1
44,nash76,噓,1,輸不起的垃圾肥豬是有什麼好看的？,10/02,2021,1,0,0,0,0,0,1,1,1,0,1
45,azytjr,推,2,上樑不正下樑歪,12/11,2021,0,0,0,0,0,0,0,1,0,0,0
46,toshiba5566,噓,1,八百多條人命跟著犯婦,12/08,2021,0,0,0,0,0,0,0,0,0,0,0
47,potionx,→,0,肥宅加果糖 胖得快又穩,11/11,2022,1,0,0,0,0,0,0,1,0,0,1
48,AInnor,噓,1,可憐 死肥豬男人婆根本講幹話,09/20,2021,1,0,0,0,1,0,1,1,1,0,1
